,0
CYTDK2,3.185007813044649e-12
XPPT,1.476985200810077e-12
HXPRT,1.476985200810077e-12
NDPK5,0.022947509124823098
SHK3Dr,5.295763827461997e-14
NDPK6,7.78499487097406e-12
NDPK8,0.022947509115423415
DHORTS,1.9184653865522705e-13
OMPDC,1.0302869668521453e-13
PYNP2r,0.02294750911751971
G5SD,1.836530927334934e-12
CS,1.0729195309977513e-11
ICDHyr,1.1959322421262186e-11
ALATA_L2,8.157051423207662e-13
DURIPP,0.022947509114044074
ACALD,4.496107190258652e-12
PTRCTA,1.4724332864091139e-12
ACS,1.2505552149377763e-12
CYSDS,6.635803018184561e-13
MAN6PI,1.1013412404281553e-13
PPA,0.022947509116173048
APRAUR,2.0614152745901393e-14
TRPAS2,2.4830901224071056e-12
PPCK,2.4158453015843406e-13
ME1,1.48991929904696e-12
DB4PS,4.117279434057153e-14
ALAR,3.1097346919750635e-12
RBFK,2.3139823390749825e-13
ALATA_L,1999.1186125375175
XYLK,0.0
RBK,4.988010005035903e-12
GLYK,5.939790326259242e-12
PPM,999.9994097808793
ASPTA,8.990674871256488e-11
ACP1_FMN,4.89253082491814e-12
RBFSb,4.5066814863270466e-14
NDP3,4.9036330551643914e-12
CDPPH,4.905909012364873e-12
NDP7,4.888534022029489e-12
FBP,4.894615962536264e-12
EX_pi_e,1.7568169141668477e-12
GLGC,4.902744876744691e-12
ALATA_D2,2.961988293526119e-12
PYK,2.2758138902045175
SHCHD2,0.0
EX_co2_e,2.1813661987835076e-12
A5PISO,4.311828671887952e-14
PMDPHT,6.72712753557736e-14
CPPPGO,1.8978742188924258e-14
EX_met__L_e,0.0
GTHOr,0.21704102463810004
ILETA,2.190247982980509e-12
DHORD5,0.29010629354668716
EX_metsox_S__L_e,0.0
GLYCTO2,5.5564441936439835e-12
VALTA,1999.1186125375175
GLYCTO3,5.4907745017374054e-12
IPPMIb,7.402967128200544e-13
GLYCTO4,3.0873081868776353e-12
ORPT,2.0694002067500605e-12
RBFSa,1.254387219096209e-13
ACHBS,1.8207657603852567e-14
PFK_3,8.451763770254388
DHAD2,3.708144902248023e-14
ACLS,1.0114131754335176e-13
TRPS2,1.2494449919131512e-12
PSCVT,5.3013149425851225e-14
G3PD5,8.235634396669411e-13
G1PP,2.2222224060897133e-12
PFL,7.755573960821494e-12
EX_acgam_e,0.0
ANS,4.787142904305597e-14
FRD2,38.28914805269751
FRD3,37.99704395949395
ANPRT,4.498484917903056e-14
POX,1.291411422243982e-12
CHORM,1.7541523789077473e-14
PTAr,2.3021584638627246e-12
CHORS,1.7430501486614958e-14
IGPS,4.498484917903056e-14
ACKr,1.8417267710901797e-11
EX_cellb_e,0.0
EX_crn_e,0.0
EX_hxan_e,0.0
EX_ile__L_e,0.0
EX_chol_e,0.0
EX_fe3_e,999.9859145477468
LEUTAi,9.603429163007604e-14
EX_lac__L_e,2.318145675417327e-13
EX_leu__L_e,0.0
EX_glcn_e,0.0
EX_no3_e,0.0
EX_h_e,999.9859145477396
DMATT,1.3010426069826053e-18
EX_orn_e,1.4960255256823984e-13
GRTT,1.3010426069826053e-18
EX_gln__L_e,0.0
UPP3S,8.995408584677733e-15
EX_pro__L_e,0.0
EX_glyc_e,1.7053025658242404e-13
UPPDC1,9.04571556548106e-15
EX_man_e,0.0
TMDPP,0.0
EX_ade_e,0.0
EX_mn2_e,0.0
EX_4abut_e,1.4328815911568427e-13
EX_ac_e,0.0
EX_akg_e,1.6736612096224235e-13
EX_ala__L_e,1.452310494087783e-13
EX_arg__L_e,0.0
EX_asp__L_e,2.5424107263916085e-13
EX_pyr_e,2.7827132959012957e-13
EX_succ_e,1.4327428132787645e-13
EX_thymd_e,0.0
EX_rib__D_e,0.0
EX_tyr__L_e,0.0
EX_cytd_e,0.0
EX_dcyt_e,0.0
MOAT,0.0
EX_fum_e,1.8030021919912542e-13
EX_sbt__D_e,0.0
EX_glu__L_e,0.0
UDCPDPS,0.0
ECOAH6,2.48245868306185e-13
USHD,4.964778588245622e-15
EX_gua_e,0.0
ENO,1.0729195309977513e-11
FBA,8.45176377025566
HCO3E,1.5556445021047693e-12
MGSA,4.889560978327268e-13
IMPC,1.2395640069939873e-13
IMPD,1.878497357665765e-12
PPS,0.0
ECOAH4,9.902079156631771e-13
LPADSS,0.0
GLUTRS,3.9419856268096964e-14
TDSK,0.0
PGI,3.928413150333654e-12
TMPPP,0.0
EX_btn_e,0.0
PGK,4.128253294766182e-12
EX_ptrc_e,1.3694601008751306e-13
EDA,1.906919067096169e-12
EX_spmd_e,0.0
EX_thym_e,0.0
EX_xtsn_e,0.0
NTPP1,1.5134560271690134e-12
URIK1,3.169020601490047e-12
URIK2,3.741895682196628e-12
NTPP2,5.850875339774575e-13
PGL,4.128253294766182e-12
NTPTP1,8.759208636188731e-13
NTPTP2,6.195044477408373e-13
CYTDK1,3.154809746774845e-12
RPE,2.7491342535768126e-12
DHQTi,3.519406988061746e-14
IPMD,9.781064846947629e-14
AIRC3,1.7319479184152442e-13
TALA,8.451763770254715
PUNP1,0.022947509115793414
PUNP2,0.02294750911539233
PUNP3,0.02294750911388783
ADSL2r,1.9068080447937064e-13
TKT1,1.8964829706646924e-12
EX_fe2_e,999.9859145477415
PUNP5,1.6830981053317373e-12
PUNP6,2.7688858150742846e-12
PUNP7,6.166178678768119e-13
G6PDA,2.6348367931916528e-12
RNDR1,2.7272351044160814e-12
ALCD2x,1.900701818158268e-13
RNDR3,7.772782417703183e-12
RNDR4,7.89314794080731e-12
ALDD2y,2.349527979580065e-12
TMDS,1.1278131206715614e-13
RMI,0.0
TMDK1,2.7284841053187847e-12
LYSAM,0.0
PPCDC,7.410521848938423e-16
FTHFD,4.421017805317229e-12
EX_glc__D_e,5.684341886080802e-14
DHAD1,1.2922996006636822e-13
IPPMIa,9.603429163007604e-14
EX_alltn_e,0.0
G3PD7,8.131412210232725e-13
EDD,8.970602038971265e-13
EX_ura_e,1.030009411095989e-13
NADH9,2.682298827494378e-12
EX_val__L_e,1.3367085216486885e-13
NADH10,8.260059303211165e-13
ADK4,1.55964130499342e-12
INSK,2.7426949600339867e-12
MDH,6.268763286243484e-12
ABTA,4.320099833421321e-12
EX_xan_e,0.0
FUM,6.268763286243484e-12
FMNAT,1.2934098236883074e-14
PYDXNK,2.7426949600339867e-12
PYAM5PO,2.111557456663249e-12
SSALx,1.723066134218243e-12
ASPT,3.105071755271638e-12
OHPBAT,2.144470798853826e-12
SERD_L,2.956884737059795e-12
EX_dgsn_e,0.0
NADDP,1.4769296896588457e-12
EX_arab__L_e,1.0036416142611415e-13
EX_fru_e,0.0
THRD,4.18554080283684e-13
HEX4,2.7426949600339867e-12
EX_gal_e,0.0
NMNAT,1.4769296896588457e-12
EX_xyl__D_e,1.0036416142611415e-13
KARA1,1.6342482922482304e-13
HMPK1,0.0
KARA2,4.884981308350689e-14
EX_duri_e,0.0
EX_for_e,4.465451446111768e-13
EX_gly_e,4.3853809472693683e-13
EX_h2_e,0.0
EX_lys__L_e,0.0
ACCOAC,1.0658141036401503e-12
NADK,1.1063372440389685e-12
GLXCL,1.0746958878371515e-12
ICHORS_copy2,1000.0
SUCBZS,0.0
DHBD,0.0
ICHORT,0.0
EX_ser__L_e,2.238487173400472e-13
EX_thm_e,0.0
EX_trp__L_e,0.0
GLUTRR,4.371503159461554e-16
GLCS1,2.7711166694643907e-12
GLCP,2.7711166694643907e-12
EX_din_e,0.0
RBK_L1,0.0
RBP4E,0.0
TARTD,0.0
NTD2,0.02294750911584999
GLCRAL,0.0
NTD4,2.7711166694643907e-12
NTD5,3.424815986363683e-12
EX_fmn_e,0.0
EX_gthox_e,0.0
KAS14,6.727951529228449e-13
HEMEOS,0.0
ADMDC,0.0
AGMT,1.8635093468333253e-13
NTD6,0.02294750911269607
LGTHL,1.2436718321851004e-12
PYDXPP,1.4637180356658064e-12
PDXPP,5.684341886080801e-13
ARGDC,4.954370247389761e-13
HACD6,4.860001290296623e-13
ECOAH1,5.566658245470535e-13
ECOAH2,5.566658245470535e-13
ARGSS,2.378652830259398e-13
AGPR,2.7711166694643907e-13
SPMS,0.0
G1SAT,1.4103301859691442e-13
KDOCT2,1.9220736113823023e-15
ECOAH3,4.963807143099075e-13
UGLT,0.0
EDTXS1,0.0
DXPS,6.609990332862026e-14
OAADC,3.5500491435414006e-12
MNNH,0.0
CDPMEK,6.609990332862026e-14
EDTXS2,0.0
ALTRH,0.0
MECDPS,6.609990332862026e-14
GUI1,0.0
EDTXS3,0.0
PGAMT,2.708944180085382e-13
DDGLK,1.496580637194711e-13
EDTXS4,0.0
XYLI2,1.0274447959091049e-11
PMANM,2.7284841053187847e-12
ICL,3.2103208980061027e-12
UAGDP,2.6978419498391304e-13
